Model,Arsitektur,Accuracy,Precision,Recall,F1-Score,MAE,RMSE
OHLC,BILSTM,0.4788,0.4788,1.0,0.6475,22.0,32.21
OHLC + Indikator,BILSTM,0.4953,0.4819,0.7207,0.5776,21.85,32.26
OHLC + Indikator + SMC,BILSTM,0.4738,0.4741,0.9054,0.6223,22.06,32.31
OHLC + Indikator + SMC,CNN_LSTM,0.4982,0.4716,0.3994,0.4325,21.87,32.16
